Gamen
Afspraken nakomen
Opruimen
De grapjas uithangen
Focus houden 
Bescheiden zijn
Plannen
Klussen
Koken
Op tijd naar bed gaan 
Van de fiets vallen
Uitgaan 
Vloggen
Video’s maken
Boeken lezen
Vroeg opstaan
Shoppen
Autorijden 
Navigeren / richtingsgevoel
Inparkeren
Sporten
Dansen 
Zingen 
Muziek maken
Om eigen grappen lachen
Luisteren
Creativiteit 
Series kijken
Films kijken
Toneel
Theater
Schrijven
Tuinieren
Vrijwilligerswerk
Mario Kart spelen
Een stoel claimen in de trein
Puzzels oplossen
Het einde van een film verklappen
Praten zonder na te denken
Rappen
Cupcakes versieren
Voetbal 
Handbal
Volleybal
Gymnastiek 
turnen
Hardlopen
Atletiek 
Zwemmen
Tennis
Badminton
Vissen
Hockey
Roeien
Zeilen
Watersport
Golf
Judo
Boksen
Wandelen
Boogschieten
Biljarten
Darten
Tafeltennis
Dammen
Schaken
Honkbal
Basketbal
Korfbal
Bowlen
Rugby
Paardrijden
Motorrijden
Schaatsen
Fitness
Yoga



